Neighborhood,Municipality,Region,Country,lat,lon
Downtown,Seattle,Washington,USA,47.607581471195246,-122.33614578881325
West Seattle,Seattle,Washington,USA,47.56693272291812,-122.38711553295772
Capitol Hill,Seattle,Washington,USA,47.6250671660763,-122.32120129018064
Ballard,Seattle,Washington,USA,47.67703818151357,-122.38649419836501
Queen Anne,Seattle,Washington,USA,47.632491665646725,-122.35707704657362
Fremont,Seattle,Washington,USA,47.65255262123673,-122.35122502942966
Lake City,Seattle,Washington,USA,47.719582754238836,-122.29599295767407
Chinatown-International,Seattle,Washington,USA,47.598461579450586,-122.32443165907085
Seattle Waterfront,Seattle,Washington,USA,47.609077269229736,-122.34250080705546
Belltown,Seattle,Washington,USA,47.615344467794124,-122.34539687072004
Pioneer Square,Seattle,Washington,USA,47.60137553317596,-122.33240163236249
Beacon Hill,Seattle,Washington,USA,47.55445006440701,-122.30752718452537
University District,Seattle,Washington,USA,47.66269156639317,-122.31316991242197
SoDo,Seattle,Washington,USA,47.58340009404086,-122.33381210129933
Wallingford,Seattle,Washington,USA,47.66058982091602,-122.33464686030106
Central District,Seattle,Washington,USA,47.606979966175295,-122.29595935892313
Georgetown,Seattle,Washington,USA,47.54756739145673,-122.32549150268201